,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
72,Asesina,Brytiago,881638,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
73,Believer,"Imagine Dragons",877944,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
74,Flames,"David Guetta",876974,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
75,"BUTTERFLY EFFECT","Travis Scott",874088,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
76,Darkside,"Alan Walker",864734,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
77,"Mala Mía",Maluma,857872,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
78,"All Girls Are The Same","Juice WRLD",857768,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
79,"New Rules","Dua Lipa",846259,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
80,Unica,Ozuna,845529,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
81,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,843046,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
82,"STOP TRYING TO BE GOD","Travis Scott",837433,https://open.spotify.com/track/1xYpVRspgaLxdJLOTQkTjg
83,Perfect,"Ed Sheeran",834531,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
84,Thunder,"Imagine Dragons",830979,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
85,"Everybody Dies In Their Nightmares",XXXTENTACION,802918,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
86,"Side Effects","The Chainsmokers",795545,https://open.spotify.com/track/5yNEdBlZMxpcVtGKz5NFk5
87,"Por Perro","Sebastian Yatra",788451,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
88,"Dura - Remix","Daddy Yankee",788372,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
89,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,788305,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
90,"No Me Acuerdo",Thalía,785099,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
91,"Estamos Bien","Bad Bunny",782774,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
92,"CAN'T SAY","Travis Scott",782179,https://open.spotify.com/track/27a1mYSG5tYg7dmEjWBcmL
93,"La Cintura","Alvaro Soler",779885,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
94,"I'm Upset",Drake,777537,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
95,"Love Lies (with Normani)",Khalid,774590,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
96,"Look At Me!",XXXTENTACION,773940,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
97,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",771454,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
98,"you should see me in a crown","Billie Eilish",762254,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
99,"Madura (feat. Bad Bunny)",Cosculluela,759485,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
100,"I Fall Apart","Post Malone",747926,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
101,Mine,Bazzi,742468,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
102,"XO TOUR Llif3","Lil Uzi Vert",742364,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
103,"NO BYSTANDERS","Travis Scott",741247,https://open.spotify.com/track/6OaVWaGfhXn70ZJfdVcabn
104,"R.I.P. SCREW","Travis Scott",739559,https://open.spotify.com/track/4SZepBIPDRwPaHIjAKwRDb
105,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",736773,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
106,"Mi Cama - Remix","Karol G",724207,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
107,"Only You (with Little Mix)","Cheat Codes",723546,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
108,Calypso,"Luis Fonsi",720960,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
109,"High On Life (feat. Bonn)","Martin Garrix",719971,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
110,Happier,"Ed Sheeran",709466,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
111,"Majesty (feat. Eminem & Labrinth)","Nicki Minaj",708977,https://open.spotify.com/track/38TgLPNHsPzgqri5G4SPun
112,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",706950,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
113,"In My Blood","Shawn Mendes",695439,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
114,OTW,Khalid,694199,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
115,"Melodien (feat. Juju)","Capital Bra",691992,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t
116,"Lean Wit Me","Juice WRLD",691801,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
117,"Bella - Remix",Wolfine,682913,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
118,"Thunderclouds with Sia, Diplo & Labrinth",Sia,680799,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
119,"5% TINT","Travis Scott",680387,https://open.spotify.com/track/11kDth1aKUEUMq9r1pqyds
120,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,674245,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
121,Chun-Li,"Nicki Minaj",660785,https://open.spotify.com/track/1e4rwBPVI32vZtTJu7mJ4J
122,"W O R K I N M E",Quavo,660029,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64
123,"Too Good At Goodbyes","Sam Smith",647697,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
124,"Mob Ties",Drake,643476,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
125,"El Préstamo",Maluma,640633,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
126,"Ball For Me (feat. Nicki Minaj)","Post Malone",633165,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
127,Closer,"The Chainsmokers",631035,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
128,Connection,OneRepublic,628848,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
129,Africa,Toto,627622,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
130,"I'm Yours","Jason Mraz",625853,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
131,"Síguelo Bailando",Ozuna,623825,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
132,"Call Out My Name","The Weeknd",622345,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
133,"Toda - Remix","Alex Rose",619057,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
134,"La Cintura (feat. Flo Rida & TINI) - Remix","Alvaro Soler",618799,https://open.spotify.com/track/56gH0zGe3SP9SGNoQ2pWwn
135,"Te Amo","Piso 21",615208,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
136,Dura,"Daddy Yankee",612316,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
137,"Freaky Friday (feat. Chris Brown)","Lil Dicky",611425,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
138,91's,PNL,610344,https://open.spotify.com/track/58st6r10Ze6QomHs0BMUA8
139,Hipócrita,"Anuel Aa",610121,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
140,"Plug Walk","Rich The Kid",608800,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
141,Congratulations,"Post Malone",607343,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
142,"Walk It Talk It",Migos,604785,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
143,HUMBLE.,"Kendrick Lamar",603158,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
144,NC-17,"Travis Scott",603124,https://open.spotify.com/track/6BJbOXDlgVAXSaq6wYFYT2
145,goosebumps,"Travis Scott",602725,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
146,"Say You Won't Let Go","James Arthur",601854,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
147,"Playinwitme (feat. Kehlani)",KYLE,601531,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
148,"WHO? WHAT!","Travis Scott",599879,https://open.spotify.com/track/4KYS9GK68yeuUJ8vJfPxrq
149,"Remind Me to Forget",Kygo,599059,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
150,"Rich Sex (feat. Lil Wayne)","Nicki Minaj",595543,https://open.spotify.com/track/2D1MK9oaxy7axXggy3iVbp
151,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,584360,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
152,Hope,XXXTENTACION,581307,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
153,"This Is America","Childish Gambino",580079,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
154,Familiar,"Liam Payne",578777,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
155,APESHIT,"The Carters",577118,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
156,"Wake Me Up - Radio Edit",Avicii,577089,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
157,HOUSTONFORNICATION,"Travis Scott",574063,https://open.spotify.com/track/58TaFP5j5i9swOf584yon2
158,"All The Stars (with SZA)","Kendrick Lamar",572847,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
159,"Album of the Year - Freestyle","J. Cole",569443,https://open.spotify.com/track/6rDaCGqcQB1urhpCrrD599
160,"Mi Cama","Karol G",567455,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
161,"Ric Flair Drip (& Metro Boomin)",Offset,566665,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
162,"One Dance",Drake,563408,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
163,"Something Just Like This","The Chainsmokers",563109,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
164,"Candy Paint","Post Malone",560313,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
165,"500 PS","Bonez MC",558578,https://open.spotify.com/track/641R77CBy4bOLGRcA9sgHy
166,Medicina,Anitta,557734,https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju
167,"Duro y Suave","Leslie Grace",555913,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
168,ASTROTHUNDER,"Travis Scott",555237,https://open.spotify.com/track/4MXhiYIRDMGAuvZc5IFTwC
169,"Wonderwall - Remastered",Oasis,554706,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
170,"All Mine","Kanye West",549936,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
171,"Missing My Idols","Trippie Redd",549370,https://open.spotify.com/track/5HnxL39pSgVVQMLP7WnSfv
172,"Échame La Culpa","Luis Fonsi",546136,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
173,"Ganja Burns","Nicki Minaj",542975,https://open.spotify.com/track/3LHYmz86DxGInsRp3wiiW5
174,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",542805,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
175,"Boo'd Up","Ella Mai",541293,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
176,"Shake It Up","Trippie Redd",540619,https://open.spotify.com/track/6yz0Jndhv0QjKdpcEMbOjz
177,"I'll Be There","Jess Glynne",539865,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
178,"If You're Over Me","Years & Years",539681,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
179,"Feel It Still","Portugal. The Man",539619,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
180,SKELETONS,"Travis Scott",536437,https://open.spotify.com/track/6NMtzpDQBTOfJwMzgMX0zl
181,"Chun Swae (feat. Swae Lee)","Nicki Minaj",535911,https://open.spotify.com/track/03It1uO69CjGWP3yyVe465
182,"Thinking Out Loud","Ed Sheeran",533407,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
183,"Summertime Magic","Childish Gambino",533289,https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF
184,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",530374,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
185,"Ao Vivo E A Cores","Matheus & Kauan",526970,https://open.spotify.com/track/2Ab1wPTEqulaCGoBak1gUo
186,"I Like Me Better",Lauv,525071,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
187,"Largado Às Traças - Ao Vivo","Zé Neto & Cristiano",523101,https://open.spotify.com/track/1IJH7QjV5V99eJBtKXqGXE
188,"Young Dumb & Broke",Khalid,520580,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
189,Silence,Marshmello,519790,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
190,"Tie Me Down (with Elley Duhé)",Gryffin,516948,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
191,"What Lovers Do (feat. SZA)","Maroon 5",515479,https://open.spotify.com/track/0GxQ1A5L9xnMOytbP6eKBG
192,Sober,"Demi Lovato",514466,https://open.spotify.com/track/0STK94RxUulYqWzwFlyAb5
193,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",513310,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
194,Wolves,"Selena Gomez",509848,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
195,Unforgettable,"French Montana",506982,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
196,"Don't Stop Believin'",Journey,506570,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
197,Criminal,"Natti Natasha",505975,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
198,JAPAN,"Famous Dex",503543,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
199,"Chica Paranormal","Paulo Londra",503052,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
200,idontwannabeyouanymore,"Billie Eilish",502430,https://open.spotify.com/track/41zXlQxzTi6cGAjpOXyLYH
